Annotator UUID,Annotator Directory,PMID
5c498251-9763-486f-8d20-f5128dc0c157,S1,19129220
5c498251-9763-486f-8d20-f5128dc0c157,S1,21450087
5c498251-9763-486f-8d20-f5128dc0c157,S1,17892462
5c498251-9763-486f-8d20-f5128dc0c157,S1,23861975
5c498251-9763-486f-8d20-f5128dc0c157,S1,23642041
5c498251-9763-486f-8d20-f5128dc0c157,S1,22870392
5c498251-9763-486f-8d20-f5128dc0c157,S1,24490131
5c498251-9763-486f-8d20-f5128dc0c157,S1,20843371
5c498251-9763-486f-8d20-f5128dc0c157,S1,20167624
5c498251-9763-486f-8d20-f5128dc0c157,S1,21799779
5c498251-9763-486f-8d20-f5128dc0c157,S1,23152924
5c498251-9763-486f-8d20-f5128dc0c157,S1,22506036
5c498251-9763-486f-8d20-f5128dc0c157,S1,19399190
5c498251-9763-486f-8d20-f5128dc0c157,S1,20053280
5c498251-9763-486f-8d20-f5128dc0c157,S1,21569462
5c498251-9763-486f-8d20-f5128dc0c157,S1,25470502
5c498251-9763-486f-8d20-f5128dc0c157,S1,23298179
5c498251-9763-486f-8d20-f5128dc0c157,S1,23209661
5c498251-9763-486f-8d20-f5128dc0c157,S1,17233899
5c498251-9763-486f-8d20-f5128dc0c157,S1,24466126
5c498251-9763-486f-8d20-f5128dc0c157,S1,24694298
5c498251-9763-486f-8d20-f5128dc0c157,S1,24713082
5c498251-9763-486f-8d20-f5128dc0c157,S1,22233679
5c498251-9763-486f-8d20-f5128dc0c157,S1,21087492
5c498251-9763-486f-8d20-f5128dc0c157,S1,21673794
5c498251-9763-486f-8d20-f5128dc0c157,S1,16840531
5c498251-9763-486f-8d20-f5128dc0c157,S1,22479184
5c498251-9763-486f-8d20-f5128dc0c157,S1,20593029
5c498251-9763-486f-8d20-f5128dc0c157,S1,24957601
5c498251-9763-486f-8d20-f5128dc0c157,S1,24260461
5c498251-9763-486f-8d20-f5128dc0c157,S1,23232715
5c498251-9763-486f-8d20-f5128dc0c157,S1,21345178
5c498251-9763-486f-8d20-f5128dc0c157,S1,24146802
5c498251-9763-486f-8d20-f5128dc0c157,S1,19703315
5c498251-9763-486f-8d20-f5128dc0c157,S1,17164287
5c498251-9763-486f-8d20-f5128dc0c157,S1,20830609
5c498251-9763-486f-8d20-f5128dc0c157,S1,18366809
5c498251-9763-486f-8d20-f5128dc0c157,S1,23823757
5c498251-9763-486f-8d20-f5128dc0c157,S1,18515344
5c498251-9763-486f-8d20-f5128dc0c157,S1,19552825
5c498251-9763-486f-8d20-f5128dc0c157,S1,24086521
5c498251-9763-486f-8d20-f5128dc0c157,S1,18346968
5c498251-9763-486f-8d20-f5128dc0c157,S1,21124877
5c498251-9763-486f-8d20-f5128dc0c157,S1,17129387
5c498251-9763-486f-8d20-f5128dc0c157,S1,21966533
227a8d13-af21-4f47-b468-0442c7da3038,T1,19129220
227a8d13-af21-4f47-b468-0442c7da3038,T1,21450087
227a8d13-af21-4f47-b468-0442c7da3038,T1,17892462
227a8d13-af21-4f47-b468-0442c7da3038,T1,23861975
227a8d13-af21-4f47-b468-0442c7da3038,T1,17355989
227a8d13-af21-4f47-b468-0442c7da3038,T1,23642041
227a8d13-af21-4f47-b468-0442c7da3038,T1,22870392
227a8d13-af21-4f47-b468-0442c7da3038,T1,17932079
227a8d13-af21-4f47-b468-0442c7da3038,T1,24490131
227a8d13-af21-4f47-b468-0442c7da3038,T1,20843371
227a8d13-af21-4f47-b468-0442c7da3038,T1,20167624
227a8d13-af21-4f47-b468-0442c7da3038,T1,21799779
227a8d13-af21-4f47-b468-0442c7da3038,T1,23152924
227a8d13-af21-4f47-b468-0442c7da3038,T1,22506036
227a8d13-af21-4f47-b468-0442c7da3038,T1,19399190
227a8d13-af21-4f47-b468-0442c7da3038,T1,20053280
227a8d13-af21-4f47-b468-0442c7da3038,T1,21569462
227a8d13-af21-4f47-b468-0442c7da3038,T1,25470502
227a8d13-af21-4f47-b468-0442c7da3038,T1,23298179
227a8d13-af21-4f47-b468-0442c7da3038,T1,22761817
227a8d13-af21-4f47-b468-0442c7da3038,T1,23209661
227a8d13-af21-4f47-b468-0442c7da3038,T1,17233899
227a8d13-af21-4f47-b468-0442c7da3038,T1,24466126
227a8d13-af21-4f47-b468-0442c7da3038,T1,24694298
227a8d13-af21-4f47-b468-0442c7da3038,T1,19846594
227a8d13-af21-4f47-b468-0442c7da3038,T1,24713082
227a8d13-af21-4f47-b468-0442c7da3038,T1,18554322
227a8d13-af21-4f47-b468-0442c7da3038,T1,24945271
227a8d13-af21-4f47-b468-0442c7da3038,T1,22233679
227a8d13-af21-4f47-b468-0442c7da3038,T1,21087492
227a8d13-af21-4f47-b468-0442c7da3038,T1,21673794
227a8d13-af21-4f47-b468-0442c7da3038,T1,16840531
227a8d13-af21-4f47-b468-0442c7da3038,T1,22479184
227a8d13-af21-4f47-b468-0442c7da3038,T1,20593029
227a8d13-af21-4f47-b468-0442c7da3038,T1,24957601
227a8d13-af21-4f47-b468-0442c7da3038,T1,24260461
227a8d13-af21-4f47-b468-0442c7da3038,T1,23232715
227a8d13-af21-4f47-b468-0442c7da3038,T1,16528104
227a8d13-af21-4f47-b468-0442c7da3038,T1,21345178
227a8d13-af21-4f47-b468-0442c7da3038,T1,24146802
227a8d13-af21-4f47-b468-0442c7da3038,T1,19703315
227a8d13-af21-4f47-b468-0442c7da3038,T1,17164287
227a8d13-af21-4f47-b468-0442c7da3038,T1,20830609
227a8d13-af21-4f47-b468-0442c7da3038,T1,18366809
227a8d13-af21-4f47-b468-0442c7da3038,T1,23823757
227a8d13-af21-4f47-b468-0442c7da3038,T1,18515344
227a8d13-af21-4f47-b468-0442c7da3038,T1,20178568
227a8d13-af21-4f47-b468-0442c7da3038,T1,19552825
227a8d13-af21-4f47-b468-0442c7da3038,T1,24086521
227a8d13-af21-4f47-b468-0442c7da3038,T1,18346968
227a8d13-af21-4f47-b468-0442c7da3038,T1,21124877
227a8d13-af21-4f47-b468-0442c7da3038,T1,17129387
227a8d13-af21-4f47-b468-0442c7da3038,T1,21966533
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23823757
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,17892462
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18005413
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,22665491
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19445690
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,30991941
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,22870392
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,31039790
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,30992530
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21314918
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,27258043
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,20167624
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19624843
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19399190
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,28197061
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23298179
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21087492
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18366600
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,16717279
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,25901572
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19939938
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23613830
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,22272299
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23152924
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23861975
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,22880126
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21166894
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21673794
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,16840531
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,25237815
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,30533034
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,28535774
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,17988394
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19321498
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,24957601
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,24490131
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23232715
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21345178
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,24713082
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19703315
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19520766
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,20830609
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18366809
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,20028978
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18304349
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,24377418
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18346968
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,19276207
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,24811061
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,27489856
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,17129387
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,21966533
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19939938
b60d3d38-9af8-47b8-8201-7a33437de738,A2,18005413
b60d3d38-9af8-47b8-8201-7a33437de738,A2,22665491
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19846594
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19445690
b60d3d38-9af8-47b8-8201-7a33437de738,A2,23613830
b60d3d38-9af8-47b8-8201-7a33437de738,A2,30991941
b60d3d38-9af8-47b8-8201-7a33437de738,A2,16528104
b60d3d38-9af8-47b8-8201-7a33437de738,A2,17932079
b60d3d38-9af8-47b8-8201-7a33437de738,A2,31039790
b60d3d38-9af8-47b8-8201-7a33437de738,A2,30992530
b60d3d38-9af8-47b8-8201-7a33437de738,A2,17355989
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19624843
b60d3d38-9af8-47b8-8201-7a33437de738,A2,27489856
b60d3d38-9af8-47b8-8201-7a33437de738,A2,22761817
b60d3d38-9af8-47b8-8201-7a33437de738,A2,28197061
b60d3d38-9af8-47b8-8201-7a33437de738,A2,18366600
b60d3d38-9af8-47b8-8201-7a33437de738,A2,20178568
b60d3d38-9af8-47b8-8201-7a33437de738,A2,16717279
b60d3d38-9af8-47b8-8201-7a33437de738,A2,21314918
b60d3d38-9af8-47b8-8201-7a33437de738,A2,18554322
b60d3d38-9af8-47b8-8201-7a33437de738,A2,24945271
b60d3d38-9af8-47b8-8201-7a33437de738,A2,21166894
b60d3d38-9af8-47b8-8201-7a33437de738,A2,22880126
b60d3d38-9af8-47b8-8201-7a33437de738,A2,22272299
b60d3d38-9af8-47b8-8201-7a33437de738,A2,25237815
b60d3d38-9af8-47b8-8201-7a33437de738,A2,30533034
b60d3d38-9af8-47b8-8201-7a33437de738,A2,17988394
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19321498
b60d3d38-9af8-47b8-8201-7a33437de738,A2,27258043
b60d3d38-9af8-47b8-8201-7a33437de738,A2,28535774
b60d3d38-9af8-47b8-8201-7a33437de738,A2,20028978
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19520766
b60d3d38-9af8-47b8-8201-7a33437de738,A2,18304349
b60d3d38-9af8-47b8-8201-7a33437de738,A2,25901572
b60d3d38-9af8-47b8-8201-7a33437de738,A2,19276207
b60d3d38-9af8-47b8-8201-7a33437de738,A2,24811061
b60d3d38-9af8-47b8-8201-7a33437de738,A2,24377418
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,19129220
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,21450087
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,23642041
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,20843371
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,21799779
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,22506036
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,20053280
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,21569462
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,23209661
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,17233899
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,24694298
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,22233679
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,25470502
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,22479184
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,20593029
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,24260461
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,24466126
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,24146802
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,17164287
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,18515344
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,19552825
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,24086521
755d8150-7fcb-4ddd-8b9a-4dc01571f339,M1,21124877
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,21314918
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,18005413
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,22665491
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19445690
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,30991941
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,30992530
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19624843
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,27489856
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,28197061
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,18366600
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,16717279
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19939938
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,23613830
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,21166894
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,22880126
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,22272299
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,25237815
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,30533034
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,17988394
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19321498
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,27258043
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,28535774
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19520766
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,20028978
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,18304349
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,25901572
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,19276207
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,24811061
cc079361-0ad4-4141-83a0-b4e30b37b6fa,M2,24377418
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19939938
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,18005413
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,22665491
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19846594
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19445690
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,23613830
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,30991941
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,16528104
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,17932079
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,31039790
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,30992530
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,17355989
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19624843
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,27489856
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,22761817
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,28197061
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,18366600
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,20178568
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,16717279
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,21314918
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,18554322
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,24945271
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,21166894
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,22880126
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,22272299
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,25237815
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,30533034
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,17988394
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19321498
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,27258043
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,28535774
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,20028978
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19520766
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,18304349
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,25901572
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,19276207
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,24811061
0d7cb3f2-fcd5-4600-9809-9673bac57f1e,D1,24377418
